library;ref;type;enzyme
Hum11d_SG;Hum11;sg;-
Hum11e_SG;Hum11;sg;-
#
# DeMaere et al., MRA 2020
#
Hum12a_HiC;Hum12;hic;Sau3AI,MluCI
Hum12b_HiC;Hum12;hic;Sau3AI,MluCI
#Hum12_SG;Hum12;sg;-
#
# Ivanova et al., Frontiers 2022
#
Hum13a_3C;Hum13;hic;HpaII
Hum13b_3C;Hum13;hic;HpaII
Hum13a_SG;Hum13;sg;-
Hum13b_SG;Hum13;sg;-
Hum14a_3C;Hum14;hic;HpaII
Hum14b_3C;Hum14;hic;HpaII
Hum14a_SG;Hum14;sg;-
Hum14b_SG;Hum14;sg;-
#
# Press et al., BioRXiv 2017
#
Hum15a_HiC;Hum15;hic;Sau3AI
Hum15b_HiC;Hum15;hic;MluCI
Hum15a_SG;Hum15;sg;-
#
# Gounot et al., 2022
#
Hum16a_proxi;Hum16;hic;Sau3AI,MluCI
Hum16a_SG;Hum16;sg;-
