Sample;Publication;originla_id;Reference;enzyme;type;number of read pairs;;
Hum50a_arima;this study;P015;Hum50;HinfI,DpnII;arima;;;
Hum50b_arima;this study;P015;Hum50;HinfI,DpnII;arima;;;
Hum50a_SG;this study;P015;Hum50;NA;shotgun;;;
Hum51a_arima;this study;P016;Hum51;HinfI,DpnII;arima;;;
Hum51a_SG;this study;P016;Hum51;NA;shotgun;;;
Hum52a_arima;this study;P006;Hum52;HinfI,DpnII;arima;;;
Hum52a_SG;this study;P006;Hum52;NA;shotgun;;;
Hum53a_arima;this study;P007;Hum53;HinfI,DpnII;arima;;;
Hum53a_SG;this study;P007;Hum53;NA;shotgun;;;
Hum54a_arima;this study;P011;Hum54;HinfI,DpnII;arima;;;
Hum54a_SG;this study;P011;Hum54;NA;shotgun;;;
Hum55a_arima;this study;P005;Hum55;HinfI,DpnII;arima;;;
Hum55a_SG;this study;P005;Hum55;NA;shotgun;;;
Hum56a_arima;this study;P009;Hum56;HinfI,DpnII;arima;;;
Hum56a_SG;this study;P009;Hum56;NA;shotgun;;;
Hum57a_arima;this study;P013;Hum57;HinfI,DpnII;arima;;;
Hum57a_SG;this study;P013;Hum57;NA;shotgun;;;
